Fitting 5 folds for each of 10 candidates, totalling 50 fits
Iteration 1, loss = 3.08666837
Iteration 2, loss = 0.81412004
Iteration 3, loss = 0.71307454
Iteration 4, loss = 0.68510993
Iteration 5, loss = 0.67977415
Iteration 6, loss = 0.66961339
Iteration 7, loss = 0.68538851
Iteration 8, loss = 0.68559089
Iteration 9, loss = 0.69210637
Iteration 10, loss = 0.66766531
Iteration 11, loss = 0.68711388
Iteration 12, loss = 0.67116395
Iteration 13, loss = 0.68170278
Iteration 14, loss = 0.67029199
Iteration 15, loss = 0.67398982
Iteration 16, loss = 0.66958727
Iteration 17, loss = 0.65948720
Iteration 18, loss = 0.66963608
Iteration 19, loss = 0.67207522
Iteration 20, loss = 0.67631230
Iteration 21, loss = 0.66531469
Iteration 22, loss = 0.68056295
Iteration 23, loss = 0.65409164
Iteration 24, loss = 0.66337860
Iteration 25, loss = 0.66912217
Iteration 26, loss = 0.66164827
Iteration 27, loss = 0.67176693
Iteration 28, loss = 0.65236434
Iteration 29, loss = 0.67266075
Iteration 30, loss = 0.65184480
Iteration 31, loss = 0.66264517
Iteration 32, loss = 0.66063016
Iteration 33, loss = 0.67905069
Iteration 34, loss = 0.66009773
Iteration 35, loss = 0.66768789
Iteration 36, loss = 0.66877207
Iteration 37, loss = 0.65164093
Iteration 38, loss = 0.66137813
Iteration 39, loss = 0.66373108
Iteration 40, loss = 0.66115010
Iteration 41, loss = 0.66483008
Iteration 42, loss = 0.65880896
Iteration 43, loss = 0.64722234
Iteration 44, loss = 0.66268550
Iteration 45, loss = 0.66172978
Iteration 46, loss = 0.66597639
Iteration 47, loss = 0.64569037
Iteration 48, loss = 0.65799837
Iteration 49, loss = 0.66056372
Iteration 50, loss = 0.67581286
Iteration 51, loss = 0.65040725
Iteration 52, loss = 0.67420155
Iteration 53, loss = 0.64774465
Iteration 54, loss = 0.65121517
Iteration 55, loss = 0.66499405
Iteration 56, loss = 0.65718091
Iteration 57, loss = 0.65195364
Iteration 58, loss = 0.65850061
Iteration 59, loss = 0.66458479
Iteration 60, loss = 0.65680160
Iteration 61, loss = 0.65412085
Iteration 62, loss = 0.65494656
Iteration 63, loss = 0.65394892
Iteration 64, loss = 0.66483050
Iteration 65, loss = 0.65566190
Iteration 66, loss = 0.65281875
Iteration 67, loss = 0.65772055
Iteration 68, loss = 0.66175660
Iteration 69, loss = 0.66866075
Iteration 70, loss = 0.64691626
Iteration 71, loss = 0.65667416
Iteration 72, loss = 0.64938114
Iteration 73, loss = 0.65585159
Iteration 74, loss = 0.65659373
Iteration 75, loss = 0.65760902
Iteration 76, loss = 0.65132482
